OBJECTID *,FID,prefire,postfire,centroid_l,Shape_Leng,Shape_Area,random_sor,Change_in,OBJECTID_1,MEAN,mortality_qualitative,
21,20,25_75,25_75,"34.7137180580431, -119.811529116573",2204.449998,44384.50422,0.215187,No Change,21,1962.986573,Low,
22,21,75_100,25_75,"34.7160880727969, -119.800304824202",1159.999655,23400.00971,0.942106,Low Mortality,22,1815.832553,Moderate,
23,22,25_75,25_75,"34.717076864003, -119.80757645034",840.00064,8700.00551,0.86933,No Change,23,1895.930877,Low,
24,23,25_75,25_75,"34.7089773252003, -119.790342469127",750.000036,12475.00797,0.148759,No Change,24,1763.160244,Moderate,
25,24,25_75,25_75,"34.7113825565512, -119.798460139917",850.00064,14874.9935,0.79077,No Change,25,1836.203748,None,
26,25,25_75,25_75,"34.711772455049, -119.793779424587",1680.00078,48600.01655,0.542968,No Change,26,1803.110285,Moderate,
27,26,25_75,25_75,"34.7133036666947, -119.804092128063",1070.000651,24225.0111,0.064048,No Change,27,1901.614434,None,
28,27,25_75,25_75,"34.7105434729754, -119.791015146467",1219.998258,22525.00464,0.672776,No Change,28,1760.538702,Moderate,
29,28,25_75,25_75,"34.7138776836986, -119.806102948212",1219.999958,44075.01375,0.84212,No Change,29,1916.101792,Moderate,
30,29,25_75,25_75,"34.7155206398367, -119.807632978899",1350.000664,24225.01135,0.858804,No Change,30,1946.367764,Low,
31,30,25_75,25_75,"34.7169035966888, -119.809723088419",2110.001401,81250.02044,0.250382,No Change,31,1943.536418,Low,
32,31,75_100,75_100,"34.7099148743786, -119.78285576808",1640.002278,32900.00599,0.4062,No Change,32,1766.729314,Low,
33,32,25_75,25_75,"34.7131352048935, -119.786475277406",550.000726,10425.00282,0.020995,No Change,33,1802.319891,Moderate,
34,33,75_100,25_75,"34.7130594377322, -119.799980613668",1019.999049,22375.00173,0.636372,Low Mortality,34,1854.644464,Moderate,
35,34,25_75,25_75,"34.7104719467186, -119.780172772934",539.998826,5250.001756,0.687973,No Change,35,1746.015694,None,
36,35,75_100,75_100,"34.7086620793304, -119.80347732048",640.00013,10925.00987,0.038522,No Change,36,1842.678657,None,
37,36,75_100,25_75,"34.7088017073464, -119.791769609263",950.000445,14650.00246,0.209942,Low Mortality,37,1770.388933,Moderate,
38,37,25_75,25_75,"34.7069964752943, -119.781488232149",729.999535,15950.00158,0.061858,No Change,38,1737.128089,Moderate,
39,38,25_75,25_75,"34.7157850879184, -119.803002432168",1114.668385,16753.31761,0.613112,No Change,39,1857.958081,None,
40,39,25_75,25_75,"34.7096143477002, -119.79397758648",710.000034,10675.00618,0.00547,No Change,40,1809.217756,Low,
41,40,25_75,25_75,"34.7140970883386, -119.800826303117",810.000839,19175.00899,0.476038,No Change,41,1861.444599,Moderate,
42,41,75_100,25_75,"34.7176870189275, -119.802672180937",629.99983,11450.00467,0.835454,Low Mortality,42,1817.350326,Moderate,
43,42,25_75,25_75,"34.7087888703703, -119.785778882177",669.999132,13600.00507,0.747531,No Change,43,1797.68189,None,
44,43,75_100,75_100,"34.7133193423257, -119.788154924831",380.000018,4524.99543,0.195032,No Change,44,1791.780046,None,
45,44,25_75,25_75,"34.7122445810333, -119.78937432422",2049.998898,45025.00445,0.851519,No Change,45,1725.575655,Low,
46,45,75_100,75_100,"34.7170175306655, -119.791545749032",1019.999749,18050.00261,0.751689,No Change,46,1647.078406,None,
47,46,25_75,25_75,"34.7154086383282, -119.791247663237",380.000518,4350.000413,0.943206,No Change,47,1671.201546,None,
48,47,75_100,75_100,"34.7045293727719, -119.788746764465",559.999827,6650.006165,0.979728,No Change,48,1693.355779,None,
49,48,75_100,75_100,"34.7141442775157, -119.792610708714",1120.000054,32550.00992,0.982655,No Change,49,1718.019326,None,
50,49,75_100,25_75,"34.715669645075, -119.799205069538",839.99964,17425.00882,0.12087,Low Mortality,50,1807.814969,Moderate,
51,50,25_75,25_75,"34.7184248427762, -119.797449255642",470.000622,7850.011164,0.772856,No Change,51,1747.150121,None,
52,51,25_75,25_75,"34.7060234163645, -119.792102626732",680.000532,12800.00705,0.470889,No Change,52,1759.355926,Low,
53,52,75_100,75_100,"34.707053506181, -119.791566069778",729.999835,14425.00497,0.559305,No Change,53,1750.606029,None,
54,53,75_100,75_100,"34.7090176206194, -119.788583683041",1560.000374,28799.99338,0.446043,No Change,54,1761.445387,None,
55,54,75_100,25_75,"34.7136272738535, -119.793937362716",790.002638,11150.00034,0.360943,Low Mortality,55,1737.54896,Moderate,
56,55,25_75,25_75,"34.7171521019914, -119.798436313854",1900.001291,36925.00414,0.539232,No Change,56,1780.101167,Moderate,
57,56,75_100,75_100,"34.7116613080261, -119.790793230949",569.999727,9550.00324,0.780936,No Change,57,1745.667378,Low,
58,57,1_25,1_25,"34.7059188709391, -119.780859285126",580.001028,11550.00506,0.036751,No Change,58,1749.585495,None,
59,58,75_100,25_75,"34.7125974010956, -119.79167855442",1170.001056,19774.9944,0.888748,Low Mortality,59,1739.995103,Moderate,
60,59,1_25,1_25,"34.7055312263765, -119.782318489465",619.999329,6550.011522,0.571396,No Change,60,1743.945641,None,
61,60,25_75,25_75,"34.7184371907026, -119.801656491234",810.000739,7275.007803,0.382527,No Change,61,1792.109573,None,
62,61,25_75,25_75,"34.7189821530346, -119.79606512609",720.001034,17225.00019,0.26159,No Change,62,1701.314145,None,
63,62,25_75,25_75,"34.7080594227795, -119.791062061793",739.998435,7100.005424,0.421634,No Change,63,1750.957076,Low,
64,63,75_100,75_100,"34.7129578787228, -119.790894033519",989.998847,26125.0109,0.654702,No Change,64,1725.408391,None,
65,64,75_100,75_100,"34.7188379337254, -119.799311920403",1201.076771,18866.26274,0.332211,No Change,65,1748.137444,None,
66,65,25_75,25_75,"34.7168014886732, -119.785299278073",990.000347,30325.01385,0.176835,No Change,66,1733.534241,None,
