OBJECTID *,FID,prefire,postfire,centroid_l,Shape_Leng,Shape_Area,random_sor,Change_in,OBJECTID_1,MEAN,mortality_qualitative,
178,177,25_75,1_25,"34.7060218990853, -119.66576654489",733.155471,10249.67664,0.63848,Low Mortality,178,1648.653716,Moderate,
179,178,25_75,25_75,"34.7071132380519, -119.668096769829",470.000522,6150.002414,0.367981,No Change,179,1623.669017,Low,
180,179,1_25,1_25,"34.7048157478715, -119.601708130745",549.999426,10500.0025,0.235119,No Change,180,1700.861443,None,
181,180,1_25,1_25,"34.7079446248684, -119.603989368001",429.999522,5599.988346,0.093914,No Change,181,1589.923573,None,
182,181,75_100,25_75,"34.7071102672162, -119.657204802498",490.001423,5300.000181,0.076359,Low Mortality,182,1775.335668,Moderate,
183,182,1_25,1_25,"34.6967338803668, -119.597925683802",789.999641,14574.99846,0.762256,No Change,183,1852.47533,None,
184,183,1_25,1_25,"34.6985710328329, -119.601375076663",789.999238,13374.9971,0.666844,No Change,184,1738.857825,None,
185,184,1_25,1_25,"34.7121328548787, -119.666658664162",946.023173,15430.72036,0.355745,No Change,185,1482.394549,None,
186,185,25_75,25_75,"34.6954709173447, -119.666983214008",1100.000653,13599.99985,0.404468,No Change,186,1839.865343,Moderate,
187,186,75_100,75_100,"34.7061822864259, -119.647051338436",1280.001961,27425.01048,0.957825,No Change,187,1643.777455,Low,
188,187,25_75,25_75,"34.7046372946571, -119.629517956637",670.000732,15575.00323,0.288879,No Change,188,1713.383153,Low,
189,188,75_100,25_75,"34.7083531359155, -119.666829792707",1545.713466,35346.08649,0.649445,Low Mortality,189,1578.587054,Moderate,
190,189,1_25,1_25,"34.7155028227046, -119.631046370655",1009.999249,23175.00508,0.253124,No Change,190,1654.32034,None,
191,190,75_100,25_75,"34.6958497430004, -119.664799371383",760.001236,14525.00239,0.627154,Low Mortality,191,1871.127892,Moderate,
192,191,25_75,25_75,"34.6999692128376, -119.677094948954",889.998842,12175.00308,0.748782,No Change,192,1849.380404,Moderate,
193,192,25_75,25_75,"34.7004227858412, -119.596743836551",709.999034,15200.00769,0.697552,No Change,193,1832.876439,None,
194,193,1_25,1_25,"34.7076363826112, -119.613839592868",449.999822,8149.99914,0.816627,No Change,194,1830.648157,None,
195,194,25_75,1_25,"34.7085184806107, -119.671340182248",919.998344,9775.005171,0.97004,Low Mortality,195,1625.34088,High,
196,195,1_25,1_25,"34.7065574210473, -119.668717324282",835.991017,8908.167585,0.438788,No Change,196,1641.151505,Low,
197,196,75_100,1_25,"34.7082800969491, -119.681348814879",890.000042,17750.00534,0.756062,High Mortality,197,1741.496307,Moderate,
198,197,1_25,1_25,"34.7004347858061, -119.645012622791",740.000536,5999.994357,0.404842,No Change,198,1828.517578,Moderate,
199,198,75_100,1_25,"34.7061505279421, -119.67129478571",439.998921,6574.992684,0.836736,High Mortality,199,1678.833573,High,
200,199,75_100,25_75,"34.7051202441325, -119.667351152832",1440.001569,40350.01095,0.093157,Low Mortality,200,1678.598546,Moderate,
201,200,1_25,1_25,"34.6995487118199, -119.573924595063",619.99973,10950.00292,0.916409,No Change,201,1456.774556,High,
202,201,25_75,25_75,"34.746800922198, -119.665392158224",490.000023,9125.002363,0.420183,No Change,202,1254.499189,Low,
203,202,75_100,75_100,"34.7035003391506, -119.60420477114",749.998341,14250.00066,0.976157,No Change,203,1810.349575,None,
204,203,75_100,75_100,"34.708203615687, -119.67110349917",1589.999176,21650.01121,0.73254,No Change,204,1608.472758,Low,
205,204,75_100,75_100,"34.7097700917008, -119.668336920328",570.000127,11000.0023,0.501387,No Change,205,1536.244434,None,
206,205,25_75,1_25,"34.7090426700957, -119.653838136659",1269.998861,21900.00172,0.222119,Low Mortality,206,1756.957918,Moderate,
207,206,25_75,25_75,"34.7022050516351, -119.635135969422",919.999544,19749.99755,0.91167,No Change,207,1713.615149,None,
208,207,75_100,25_75,"34.7094208514, -119.647372900686",800.000839,14374.99978,0.505481,Low Mortality,208,1624.614175,Moderate,
209,208,75_100,75_100,"34.7090208326879, -119.656597896821",509.999324,7324.998869,0.065768,No Change,209,1710.697568,Low,
210,209,75_100,75_100,"34.7114356126176, -119.649155515933",749.999436,10024.99816,0.554159,No Change,210,1598.263117,None,
211,210,75_100,75_100,"34.7109037114382, -119.656876418983",949.999645,12425.01485,0.469105,No Change,211,1666.450136,Low,
212,211,75_100,75_100,"34.7129050231602, -119.649626372157",668.665073,9373.973005,0.012267,No Change,212,1599.248313,Low,
213,212,25_75,25_75,"34.7146185747434, -119.648766780251",729.999135,7125.001434,0.0911,No Change,213,1527.899681,None,
214,213,25_75,25_75,"34.7145567231839, -119.655598752686",849.998641,12075.00733,0.105605,No Change,214,1553.838006,Moderate,
215,214,25_75,25_75,"34.7050799399925, -119.593889834654",1259.999061,22824.99885,0.229536,No Change,215,1637.253919,Moderate,
216,215,25_75,25_75,"34.7465523170771, -119.659096609814",1839.999488,40100.00188,0.252962,No Change,216,1367.674206,Low,
217,216,75_100,75_100,"34.7012040215461, -119.643836464398",1430.002268,17075.00398,0.712438,No Change,217,1750.752301,Low,
218,217,75_100,75_100,"34.6975442377341, -119.632805403076",1049.99985,20624.99839,0.920053,No Change,218,1849.76542,Low,
219,218,75_100,25_75,"34.7091480928165, -119.641237548434",499.999124,5949.998426,0.016847,Low Mortality,219,1573.701766,Moderate,
220,219,75_100,75_100,"34.6967547275657, -119.638046617833",1670.00118,24650.01533,0.474133,No Change,220,1877.370585,Low,
221,220,25_75,25_75,"34.7037199086562, -119.597089287911",1679.998281,25775.00571,0.995525,No Change,221,1690.335405,None,
222,221,75_100,75_100,"34.7037058514422, -119.656997060646",777.653051,8334.464105,0.385044,No Change,222,1845.812409,Low,
223,222,25_75,25_75,"34.7040411476935, -119.672852509086",759.998236,13924.99149,0.17511,No Change,223,1765.154685,Low,
224,223,25_75,1_25,"34.7107198557724, -119.666312529789",520.000725,9225.006943,0.126754,Low Mortality,224,1502.026254,Low,
225,224,75_100,75_100,"34.7473878487408, -119.657758954102",839.99964,19900.00732,0.127505,No Change,225,1308.080959,None,
